id,owner_id,fish_type_id,length,points,date
1,3,14,18,18,2024-03-02T11:57:58.817Z
2,3,14,18,18,2024-03-02T11:58:03.529Z
3,3,14,14,7,2024-03-02T12:42:16.352Z
4,3,14,12,6,2024-03-02T12:42:20.642Z
5,3,14,12,6,2024-03-02T12:42:26.218Z
6,3,14,15,15,2024-03-02T12:51:25.039Z
7,3,14,14,7,2024-03-02T13:56:44.830Z
8,3,14,18,18,2024-03-02T15:28:53.087Z
9,3,14,13,6.5,2024-03-02T15:28:58.255Z
10,3,14,15,15,2024-03-02T15:54:23.315Z
11,3,14,18,18,2024-03-02T16:12:06.717Z
12,3,14,14,7,2024-03-03T10:07:36.780Z
13,4,14,13,6.5,2024-03-03T12:21:08.564Z
14,3,14,15,15,2024-03-03T12:21:10.583Z
15,3,14,13,6.5,2024-03-03T12:35:13.789Z
16,2,14,16,16,2024-03-03T12:35:35.410Z
17,4,14,15,15,2024-03-03T12:42:37.985Z
18,4,14,15,15,2024-03-03T12:57:35.803Z
19,4,14,13,6.5,2024-03-03T13:20:49.153Z
20,2,14,13,6.5,2024-03-03T13:27:45.252Z
21,3,14,18,18,2024-03-03T13:45:19.426Z
22,4,14,12,6,2024-03-03T13:51:38.806Z
23,2,14,19,19,2024-03-03T13:55:42.849Z
24,2,3,18,9,2024-03-03T14:00:02.591Z
25,2,14,16,16,2024-03-03T14:50:11.011Z
26,2,14,14,7,2024-03-09T09:13:39.674Z
27,2,14,18,18,2024-03-09T10:13:58.770Z
28,2,14,15,15,2024-03-09T11:08:40.724Z
29,2,14,14,7,2024-03-09T11:41:36.229Z
30,4,14,15,15,2024-03-09T12:05:01.599Z
31,2,14,15,15,2024-03-09T12:22:34.880Z
32,4,14,13,6.5,2024-03-09T14:25:53.332Z
33,4,2,22,22,2024-03-17T10:20:15.313Z
34,4,2,18,9,2024-03-17T12:09:27.772Z
35,3,9,17,0,2024-03-17T12:35:31.011Z
37,4,2,15,7.5,2024-03-17T17:06:33.052Z
38,2,3,9,0,2024-03-21T17:51:42.492Z
39,2,3,20,20,2024-03-21T17:52:29.723Z
40,4,2,18,9,2024-03-25T17:37:45.167Z
41,3,14,14,7,2024-03-30T10:32:32.267Z
42,3,14,13,6.5,2024-03-30T10:32:37.498Z
43,4,14,14,7,2024-03-30T10:39:36.308Z
44,4,14,14,7,2024-03-30T10:39:41.775Z
45,4,14,13,6.5,2024-03-30T10:39:46.651Z
46,5,14,14,7,2024-03-30T11:01:58.696Z
47,5,14,18,18,2024-03-30T11:02:04.010Z
48,5,14,14,7,2024-03-30T11:02:09.129Z
49,5,14,12,6,2024-03-30T11:02:18.150Z
50,5,14,14,7,2024-03-30T11:02:23.412Z
51,5,14,15,15,2024-03-30T11:02:29.519Z
52,5,14,16,16,2024-03-30T11:02:40.161Z
53,5,14,14,7,2024-03-30T11:02:44.769Z
54,5,14,11,5.5,2024-03-30T11:02:49.067Z
55,2,17,15,15,2024-03-30T11:03:34.920Z
56,5,14,12,6,2024-03-30T11:17:51.016Z
57,3,14,15,15,2024-03-30T11:26:08.481Z
58,4,14,12,6,2024-03-30T12:30:11.303Z
59,4,14,12,6,2024-03-30T12:59:32.967Z
60,4,14,12,6,2024-03-30T14:04:20.902Z
61,4,14,14,7,2024-04-06T19:46:38.521Z
62,3,14,15,15,2024-04-06T19:47:03.389Z
63,4,14,15,15,2024-04-06T20:27:13.924Z
64,3,14,15,15,2024-04-06T20:54:37.213Z
65,4,14,17,17,2024-04-06T21:50:21.795Z
66,3,5,58,87,2024-04-13T06:48:28.562Z
67,4,12,45,45,2024-04-13T06:57:22.992Z
68,2,9,29,29,2024-04-13T09:29:00.289Z
69,4,5,33,33,2024-04-13T09:39:21.605Z
70,3,5,51,76.5,2024-04-14T14:58:04.451Z
71,4,12,45,45,2024-04-14T17:48:28.904Z
72,4,9,38,57,2024-04-23T15:58:49.133Z
73,4,9,20,10,2024-04-23T15:59:07.773Z
74,4,7,38,38,2024-04-23T15:59:14.441Z
75,3,5,35,35,2024-04-23T16:07:00.941Z
76,3,5,40,40,2024-04-23T16:30:51.309Z
77,3,9,20,10,2024-05-01T06:48:51.644Z
78,4,9,36,36,2024-05-01T07:41:33.824Z
79,3,2,18,9,2024-05-01T08:40:28.787Z
80,4,5,31,31,2024-05-01T09:28:13.986Z
81,3,7,53,79.5,2024-05-03T15:29:39.522Z
82,3,5,21,0,2024-05-03T15:47:01.610Z
83,4,17,12,6,2024-05-03T19:24:57.861Z
84,4,5,24,12,2024-05-03T19:25:03.428Z
85,4,13,71,71,2024-05-03T19:25:09.240Z
86,4,8,21,21,2024-05-08T15:07:59.043Z
87,4,7,38,38,2024-05-08T15:08:09.149Z
88,4,7,34,17,2024-05-08T15:08:16.159Z
89,4,9,20,10,2024-05-08T15:11:53.817Z
90,4,9,30,30,2024-05-08T16:09:31.881Z
91,4,5,61,91.5,2024-05-08T17:03:51.286Z
92,4,5,50,75,2024-05-08T18:37:59.764Z
93,3,16,52,52,2024-05-10T16:17:49.662Z
94,3,9,25,25,2024-05-10T17:42:02.438Z
95,3,5,57,85.5,2024-05-10T17:54:49.219Z
96,3,5,50,75,2024-05-10T18:23:36.054Z
97,2,12,81,121.5,2024-05-15T18:47:06.743Z
98,3,5,21,0,2024-05-24T11:27:04.275Z
99,4,16,62,62,2024-05-24T14:46:05.896Z
100,3,9,31,31,2024-05-30T16:31:23.483Z
101,3,5,61,91.5,2024-05-30T17:34:10.148Z
102,3,5,51,76.5,2024-06-01T14:34:58.052Z
103,3,5,53,79.5,2024-06-01T16:01:49.263Z
104,3,5,56,84,2024-06-01T16:01:52.743Z
105,3,5,28,14,2024-06-01T16:31:49.883Z
106,3,5,58,87,2024-06-01T17:14:10.293Z
107,3,9,28,28,2024-06-01T17:54:15.885Z
108,3,5,55,82.5,2024-06-01T17:58:18.896Z
109,3,5,53,79.5,2024-06-01T18:17:12.229Z
110,3,5,53,79.5,2024-06-01T18:31:49.420Z
111,3,5,40,40,2024-06-01T18:34:49.118Z
112,3,5,54,81,2024-06-01T19:21:41.942Z
113,3,9,25,25,2024-06-05T16:43:30.272Z
114,3,9,23,11.5,2024-06-05T17:55:44.287Z
115,3,9,20,10,2024-06-05T17:55:50.106Z
116,4,5,13,0,2024-06-05T17:57:00.772Z
117,4,5,14,0,2024-06-05T17:57:05.939Z
118,4,5,15,0,2024-06-05T17:57:10.653Z
119,4,5,15,0,2024-06-05T17:57:15.252Z
120,4,9,19,9.5,2024-06-05T17:57:31.334Z
121,4,5,54,81,2024-06-05T17:58:34.451Z
122,4,5,60,90,2024-06-05T18:10:26.282Z
123,4,9,17,0,2024-06-05T18:12:29.988Z
124,3,9,23,11.5,2024-06-05T18:58:42.242Z
125,3,9,25,25,2024-06-05T19:11:19.079Z
126,3,5,29,14.5,2024-06-05T19:23:27.995Z
127,3,9,22,11,2024-06-05T19:31:16.893Z
128,4,9,23,11.5,2024-06-05T19:41:23.506Z
129,4,5,29,14.5,2024-06-05T19:41:29.162Z
130,3,5,33,33,2024-06-05T19:47:43.106Z
131,3,9,23,11.5,2024-06-05T19:47:48.200Z
132,4,5,31,31,2024-06-05T20:11:42.483Z
133,4,9,24,12,2024-06-05T20:11:52.995Z
134,3,9,21,10.5,2024-06-13T15:14:33.146Z
135,3,9,24,12,2024-06-13T15:32:47.112Z
136,3,9,23,11.5,2024-06-13T16:45:04.055Z
137,3,5,23,11.5,2024-06-13T17:01:27.627Z
138,3,5,32,32,2024-06-13T17:12:30.120Z
139,3,9,23,11.5,2024-06-13T17:42:43.351Z
140,3,5,25,12.5,2024-06-13T18:38:05.817Z
141,5,5,54,81,2024-07-10T11:43:31.688Z
142,5,9,22,11,2024-07-10T11:43:55.020Z
143,5,9,22,11,2024-07-10T11:44:00.441Z
144,5,5,25,12.5,2024-07-10T11:44:12.332Z
145,5,3,24,24,2024-07-10T11:44:28.816Z
146,5,5,27,13.5,2024-07-10T11:44:39.563Z
147,5,5,56,84,2024-07-10T11:44:52.154Z
148,5,5,30,30,2024-07-10T11:44:56.349Z
149,5,5,51,76.5,2024-07-10T11:45:10.899Z
150,5,5,54,81,2024-07-10T11:45:14.584Z
151,5,9,17,0,2024-07-10T11:45:28.102Z
152,5,9,25,25,2024-07-10T11:45:32.796Z
153,5,3,24,24,2024-07-10T11:45:50.349Z
154,5,3,26,26,2024-07-10T11:45:56.027Z
155,5,3,23,23,2024-07-10T11:46:01.077Z
156,5,9,21,10.5,2024-07-10T11:46:14.694Z
157,5,5,27,13.5,2024-07-10T11:50:43.193Z
158,5,5,27,13.5,2024-07-10T11:50:48.323Z
159,5,5,28,14,2024-07-10T11:50:52.818Z
160,3,9,26,26,2024-07-10T12:16:55.757Z
161,3,3,24,24,2024-07-10T12:17:01.828Z
162,3,5,30,30,2024-07-10T12:17:15.125Z
163,3,5,27,13.5,2024-07-10T12:17:19.426Z
164,3,5,48,72,2024-07-10T12:17:42.754Z
165,3,5,23,11.5,2024-07-10T12:17:46.130Z
166,3,5,26,13,2024-07-10T12:18:04.269Z
167,3,5,39,39,2024-07-10T12:18:08.068Z
168,3,5,33,33,2024-07-10T12:18:11.448Z
169,3,5,27,13.5,2024-07-10T12:18:27.190Z
170,3,5,33,33,2024-07-10T12:18:35.001Z
171,3,5,46,69,2024-07-10T12:18:40.357Z
172,3,5,55,82.5,2024-07-10T12:18:53.844Z
173,3,5,54,81,2024-07-10T12:18:58.348Z
174,3,5,54,81,2024-07-10T12:19:02.039Z
175,3,5,27,13.5,2024-07-10T12:19:14.999Z
176,3,5,28,14,2024-07-10T12:19:18.423Z
177,3,5,58,87,2024-07-10T12:19:32.418Z
178,3,5,18,0,2024-07-10T12:19:36.544Z
179,3,5,27,13.5,2024-07-10T12:19:46.731Z
180,3,3,21,21,2024-07-10T12:20:00.197Z
181,3,3,23,23,2024-07-10T12:20:05.703Z
182,3,3,26,26,2024-07-10T12:20:11.209Z
183,3,9,19,9.5,2024-07-10T12:20:37.476Z
184,3,9,20,10,2024-07-10T12:20:41.981Z
185,3,9,23,11.5,2024-07-10T12:20:46.147Z
186,3,9,23,11.5,2024-07-10T12:20:50.685Z
187,2,5,20,0,2024-07-18T13:54:09.078Z
188,2,5,31,31,2024-07-18T17:25:43.790Z
189,3,3,19,9.5,2024-07-18T17:37:44.586Z
190,3,3,24,24,2024-07-18T17:38:00.765Z
191,3,3,23,23,2024-07-18T17:38:05.479Z
192,3,9,24,12,2024-07-18T17:38:24.267Z
193,3,9,24,12,2024-07-18T17:38:29.031Z
194,3,9,20,10,2024-07-18T17:38:46.385Z
195,3,9,20,10,2024-07-18T17:38:51.051Z
196,3,9,15,0,2024-07-18T17:38:55.522Z
197,3,9,18,0,2024-07-18T17:38:59.756Z
198,3,5,22,0,2024-07-18T17:39:25.937Z
199,3,5,25,12.5,2024-07-18T17:39:29.454Z
200,3,5,26,13,2024-07-18T17:39:32.831Z
201,2,3,22,22,2024-07-18T17:57:13.609Z
202,2,3,17,8.5,2024-07-18T17:57:25.071Z
203,2,3,20,20,2024-07-18T18:14:13.309Z
204,2,5,19,0,2024-07-18T18:38:41.348Z
205,4,5,31,31,2024-08-30T07:23:55.988Z
206,4,14,20,20,2024-08-30T07:24:04.383Z
207,4,3,16,8,2024-08-30T07:24:18.412Z
208,4,14,25,37.5,2024-08-30T09:32:55.871Z
209,4,14,19,19,2024-08-30T11:21:02.418Z
210,3,14,17,17,2024-08-30T16:32:33.166Z
211,3,14,17,17,2024-08-30T16:32:36.916Z
212,3,14,17,17,2024-08-30T16:32:40.945Z
213,3,14,14,7,2024-08-30T16:32:59.226Z
214,3,14,18,18,2024-08-30T16:33:03.681Z
215,3,14,19,19,2024-08-30T16:33:07.982Z
216,3,14,20,20,2024-08-30T16:33:20.176Z
217,3,14,21,21,2024-08-30T16:33:25.492Z
218,3,14,21,21,2024-08-30T16:33:29.794Z
219,3,14,22,22,2024-08-30T16:33:34.809Z
220,3,5,22,0,2024-09-01T16:36:40.362Z
221,3,5,16,0,2024-09-03T16:09:20.937Z
222,3,5,16,0,2024-09-03T16:09:24.624Z
223,3,5,26,13,2024-09-03T16:09:28.614Z
224,3,5,27,13.5,2024-09-03T16:09:31.894Z
225,4,5,57,85.5,2024-09-08T18:47:20.128Z
226,4,5,32,32,2024-09-08T18:47:24.938Z
227,4,5,30,30,2024-09-08T18:47:28.827Z
228,4,5,30,30,2024-09-08T18:47:33.335Z
229,4,5,20,0,2024-09-08T18:47:37.581Z
230,4,5,18,0,2024-09-08T18:47:42.038Z
231,4,5,17,0,2024-09-08T18:47:47.055Z
232,4,5,21,0,2024-09-08T18:47:52.280Z
233,4,5,18,0,2024-09-08T18:47:58.009Z
234,3,5,16,0,2024-09-09T16:35:32.860Z
235,3,5,16,0,2024-09-09T16:35:39.700Z
236,3,5,19,0,2024-09-09T16:35:58.620Z
237,3,5,19,0,2024-09-09T16:36:03.759Z
238,3,5,17,0,2024-09-09T16:36:22.266Z
239,3,5,20,0,2024-09-09T16:36:25.244Z
240,3,5,26,13,2024-09-09T16:36:40.043Z
241,3,5,28,14,2024-09-09T16:36:43.577Z
242,3,9,16,0,2024-09-09T16:36:57.087Z
243,3,9,27,27,2024-09-09T16:37:02.112Z
244,3,5,33,33,2024-09-09T16:37:12.095Z
245,2,7,51,51,2024-11-10T10:58:10.464Z
246,2,10,6,0,2024-11-10T11:47:47.068Z
247,2,16,13,0,2024-11-10T11:47:53.022Z
248,2,7,56,84,2024-11-10T12:20:18.605Z
249,4,17,11,5.5,2024-11-16T14:17:09.955Z
250,4,14,15,15,2024-11-16T14:17:16.185Z
251,4,14,13,6.5,2024-11-16T14:17:25.830Z
252,3,14,11,5.5,2024-11-16T14:18:08.278Z
253,3,14,16,16,2024-11-16T14:18:13.635Z
254,3,14,16,16,2024-11-16T14:18:17.516Z
255,3,14,18,18,2024-11-16T14:18:25.555Z
256,3,14,20,20,2024-11-16T14:18:28.943Z
